,update,total_updates,T,FPS,window,mean,median,min,max
70,70,122,581632,237,50,-51.07207510000001,-50.747448,-64.170505,-35.799164
71,71,122,589824,237,50,-49.3481219,-51.230864,-69.33289,80.998893
72,72,122,598016,237,50,-52.756265000000006,-52.924668999999994,-69.33289,-28.23486
73,73,122,606208,237,50,-48.82645011999999,-52.183396,-61.541524,92.027858
74,74,122,614400,237,50,-48.06313024,-51.1715645,-61.360031,92.027858
75,75,122,622592,237,50,-49.37538271999999,-50.3411985,-80.822372,72.242021
76,76,122,630784,237,50,-44.14777547999999,-50.6024545,-80.822372,88.426728
77,77,122,638976,237,50,-43.03545628,-49.4213665,-66.610951,88.426728
78,78,122,647168,237,50,-45.971926460000006,-49.096922500000005,-62.753749,71.490474
79,79,122,655360,237,50,-47.37234272,-51.290721000000005,-71.073391,78.427685
80,80,122,663552,236,50,-47.790928,-53.185449000000006,-71.073391,78.427685
81,81,122,671744,236,50,-50.3576137,-52.7891185,-75.637238,66.947389
82,82,122,679936,236,50,-51.566571319999994,-51.894606499999995,-75.637238,-41.713972
83,83,122,688128,236,50,-51.23935024,-51.204412500000004,-77.408402,-40.264614
84,84,122,696320,236,50,-49.23335884,-51.887571,-77.408402,70.002487
85,85,122,704512,236,50,-48.738523140000005,-52.3219095,-60.502186,70.002487
86,86,122,712704,235,50,-50.585463139999995,-51.360431000000005,-62.200921,-26.183849
87,87,122,720896,233,50,-46.528382619999995,-49.6462305,-62.613125,75.408457
88,88,122,729088,232,50,-50.42612252,-50.8957345,-73.354117,-33.371198
89,89,122,737280,232,50,-47.82592519999999,-51.3380505,-73.354117,87.927832
90,90,122,745472,232,50,-49.48192404,-50.0905015,-62.718496,-24.032887
91,91,122,753664,232,50,-46.12084140000001,-48.5349705,-62.718496,80.132171
92,92,122,761856,231,50,-40.0067398,-48.898992,-61.34937,80.132171
93,93,122,770048,231,50,-44.76276295999999,-49.623437,-60.729887,72.337749
94,94,122,778240,231,50,-47.85493718,-51.456894000000005,-60.778372,57.134803
95,95,122,786432,230,50,-47.6879176,-51.1996575,-60.835671,57.134803
96,96,122,794624,229,50,-49.94899619999999,-50.7114225,-63.753427,-29.921046
97,97,122,802816,228,50,-50.216059560000005,-50.818714,-63.753427,-33.693039
98,98,122,811008,228,50,-50.20828071999999,-50.426621,-60.518151,-35.658541
99,99,122,819200,228,50,-49.83238375999999,-50.3151315,-60.518151,-36.072865
100,100,122,827392,228,50,-51.424656299999995,-52.1727425,-61.127548,-36.072865
101,101,122,835584,228,50,-51.72982358000001,-52.1076475,-61.127548,-38.744407
102,102,122,843776,227,50,-51.38622906,-51.456089500000004,-62.747576,-39.265967
103,103,122,851968,227,50,-49.045551620000005,-50.518300499999995,-61.910631,59.23457
104,104,122,860160,227,50,-45.40023038,-47.887208,-61.910631,59.23457
105,105,122,868352,227,50,-48.39309007999999,-50.876397,-62.382377,52.750829
106,106,122,876544,226,50,-46.33078438,-51.110084,-62.382377,86.13719
107,107,122,884736,226,50,-45.59672176,-50.7986775,-60.644744,86.13719
108,108,122,892928,226,50,-50.66549690000001,-51.043651,-67.543099,-32.455776
109,109,122,901120,225,50,-51.42421052,-51.651089,-67.543099,-35.653292
110,110,122,909312,225,50,-51.759043160000004,-52.908426,-64.826793,-35.653292
111,111,122,917504,225,50,-49.5342356,-52.8435455,-62.622651,59.537219
112,112,122,925696,225,50,-45.29691392000001,-50.920919,-61.579875,65.850005
113,113,122,933888,225,50,-44.62599327999998,-48.82773,-60.755082,74.738274
114,114,122,942080,225,50,-49.40695654,-48.957887,-61.11493,-35.358661
115,115,122,950272,225,50,-46.873153200000004,-50.6717975,-61.11493,69.281258
116,116,122,958464,225,50,-42.4114971,-48.585319999999996,-60.510246,76.114639
117,117,122,966656,224,50,-41.28339994,-49.4743255,-61.309968,76.114639
118,118,122,974848,224,50,-45.25773668,-49.0514785,-61.840529,70.015016
119,119,122,983040,224,50,-49.709183919999994,-49.202388,-61.840529,-32.87468
120,120,122,991232,224,50,-45.439470220000004,-49.8141785,-61.038667,61.968672
121,121,122,999424,224,50,-41.26072876000001,-48.253269,-62.301707,61.968672
